ID,Activity_Name,Expected_Start_Date,Contractor_Name,Region,Complexity_Level
900,تبليط الحوش والأسوار,2024-09-19,شركة البحر الأحمر الدولية,الحدود الشمالية,Low
901,أعمال الديكور والجبس,2022-11-14,شركة راشد الراشد,الباحة,Low
902,صب سقف الدور الأرضي,2023-02-20,شركة الخضري للمقاولات,القصيم,Medium
903,تركيب النوافذ والأبواب,2024-12-20,شركة الخضري للمقاولات,تبوك,Medium
904,أعمال المباني (الطوب),2022-08-31,شركة الفنار,جازان,Low
905,أعمال الديكور والجبس,2023-11-24,شركة البحر الأحمر الدولية,الباحة,Medium
906,عزل القواعد والرقاب,2023-02-06,شركة دريك آند سكل,المدينة المنورة,Low
907,أعمال المباني (الطوب),2024-12-05,مجموعة بن لادن السعودية,مكة المكرمة,Low
908,تركيب أنظمة الحريق,2022-12-31,شركة راشد الراشد,عسير,Medium
909,تأسيس السباكة والكهرباء,2022-11-08,شركة الفنار,نجران,High
910,صب سقف الدور الأرضي,2024-10-13,شركة شابورجي بالونجي,القصيم,High
911,تركيب البلاط والرخام,2023-07-02,شركة السيف للمقاولات الهندسية,الجوف,Medium
912,أعمال الدهانات الأولية,2023-11-29,شركة الفنار,تبوك,Medium
913,أعمال اللاندسكيب والتشجير,2022-12-20,شركة الفوزان للتجارة والمقاولات,المدينة المنورة,Low
914,تبليط الحوش والأسوار,2024-05-08,شركة السيف للمقاولات الهندسية,عسير,High
915,اللياسة الخارجية,2023-02-28,شركة الكفاح للمقاولات,القصيم,High
916,صب سقف الدور الأرضي,2023-09-02,شركة السيف للمقاولات الهندسية,القصيم,Medium
917,صب الخرسانة العادية للأساسات,2022-01-06,شركة دريك آند سكل,نجران,High
918,تركيب البلاط والرخام,2022-06-04,شركة روشن العقارية,عسير,Low
919,صب الخرسانة العادية للأساسات,2023-05-19,شركة شابورجي بالونجي,تبوك,High
920,بناء جدران القبو,2024-08-13,شركة المباني,القصيم,Medium
921,بناء جدران القبو,2023-10-10,شركة المباني,القصيم,High
922,أعمال العزل المائي للسطح,2024-05-10,شركة دريك آند سكل,الجوف,High
923,بناء جدران القبو,2023-02-12,شركة العيوني للاستثمار والمقاولات,الجوف,Medium
924,عزل القواعد والرقاب,2024-10-17,شركة العيوني للاستثمار والمقاولات,الباحة,Low
925,اللياسة الداخلية,2023-05-30,شركة الكفاح للمقاولات,مكة المكرمة,Medium
926,صب أعمدة الدور الأرضي,2022-08-18,شركة العيوني للاستثمار والمقاولات,المنطقة الشرقية,Medium
927,بناء جدران القبو,2022-02-06,شركة دريك آند سكل,الباحة,High
928,اللياسة الداخلية,2024-06-18,شركة البحر الأحمر الدولية,عسير,Low
929,صب الخرسانة العادية للأساسات,2024-02-18,شركة العيوني للاستثمار والمقاولات,جازان,High
930,تركيب الأدوات الصحية,2022-01-10,شركة نسما للمقاولات,المدينة المنورة,Medium
931,اللياسة الداخلية,2022-04-05,شركة المقاولون العرب,تبوك,Low
932,أعمال التكييف المركزي,2023-02-18,مجموعة بن لادن السعودية,الحدود الشمالية,High
933,تبليط الحوش والأسوار,2022-04-25,شركة راشد الراشد,تبوك,High
934,تأسيس السباكة والكهرباء,2024-06-19,شركة البحر الأحمر الدولية,تبوك,Low
935,اللياسة الخارجية,2024-06-16,شركة أرامكو السعودية (إشراف/تنفيذ),المدينة المنورة,High
936,أعمال العزل المائي للسطح,2023-10-22,شركة نسما للمقاولات,مكة المكرمة,Medium
937,تركيب الأدوات الصحية,2022-05-17,شركة أرامكو السعودية (إشراف/تنفيذ),نجران,Low
938,أعمال العزل المائي للسطح,2023-01-22,شركة نسما للمقاولات,حائل,Low
939,أعمال العزل المائي للسطح,2022-09-10,شركة العيوني للاستثمار والمقاولات,القصيم,Low
940,تأسيس السباكة والكهرباء,2022-03-12,شركة شابورجي بالونجي,مكة المكرمة,High
941,أعمال اللاندسكيب والتشجير,2023-11-05,مؤسسة بن سمار للمقاولات,المدينة المنورة,Low
942,أعمال المباني (الطوب),2024-05-18,شركة العيوني للاستثمار والمقاولات,نجران,Medium
943,أعمال الدهانات الأولية,2024-06-27,شركة الفنار,الجوف,Low
944,صب أعمدة الدور الأرضي,2023-07-20,شركة المباني,الجوف,Medium
945,صب سقف الدور الأرضي,2023-10-18,شركة دريك آند سكل,جازان,High
946,تركيب الواجهات الزجاجية,2024-07-15,مجموعة بن لادن السعودية,الحدود الشمالية,High
947,تركيب أنظمة الحريق,2022-10-31,شركة دريك آند سكل,المدينة المنورة,High
948,تأسيس السباكة والكهرباء,2022-05-06,شركة أرامكو السعودية (إشراف/تنفيذ),الجوف,High
949,أعمال المباني (الطوب),2024-06-28,شركة العيوني للاستثمار والمقاولات,القصيم,Medium
950,صب الخرسانة العادية للأساسات,2023-09-28,شركة راشد الراشد,جازان,High
951,أعمال العزل المائي للسطح,2024-08-16,شركة الخضري للمقاولات,جازان,Medium
952,صب الخرسانة المسلحة للقواعد,2022-12-31,شركة المقاولون العرب,الحدود الشمالية,High
953,اللياسة الداخلية,2022-08-13,شركة نسما للمقاولات,الجوف,Medium
954,تركيب الأدوات الصحية,2022-01-07,شركة السيف للمقاولات الهندسية,الرياض,Low
955,أعمال التكييف المركزي,2023-10-31,شركة روشن العقارية,القصيم,Medium
956,صب سقف الدور الأرضي,2023-11-13,مجموعة بن لادن السعودية,القصيم,High
957,تأسيس السباكة والكهرباء,2022-08-22,شركة جرير للمقاولات,نجران,Medium
958,بناء جدران القبو,2022-09-10,شركة روشن العقارية,الباحة,Low
959,عزل القواعد والرقاب,2023-01-13,شركة البحر الأحمر الدولية,الجوف,High
960,أعمال اللاندسكيب والتشجير,2024-12-21,شركة أرامكو السعودية (إشراف/تنفيذ),الجوف,High
961,أعمال الديكور والجبس,2024-05-19,شركة الفوزان للتجارة والمقاولات,الباحة,Low
962,تبليط الحوش والأسوار,2023-01-16,شركة راشد الراشد,عسير,Medium
963,تركيب المصاعد,2022-12-24,شركة الكفاح للمقاولات,المدينة المنورة,High
964,تركيب الواجهات الزجاجية,2024-09-29,شركة أرامكو السعودية (إشراف/تنفيذ),حائل,High
965,الدهانات النهائية,2022-03-09,شركة نسما للمقاولات,الباحة,Medium
966,تركيب الأدوات الصحية,2023-01-10,شركة الخضري للمقاولات,مكة المكرمة,High
967,صب أعمدة الدور الأرضي,2024-04-10,شركة السيف للمقاولات الهندسية,الباحة,High
968,اللياسة الخارجية,2024-12-29,شركة الفوزان للتجارة والمقاولات,الرياض,Low
969,تركيب الواجهات الزجاجية,2023-09-11,شركة الفنار,المدينة المنورة,High
970,أعمال الديكور والجبس,2024-03-02,شركة جرير للمقاولات,المنطقة الشرقية,Medium
971,بناء جدران القبو,2023-02-08,شركة المقاولون العرب,تبوك,Low
972,صب الخرسانة المسلحة للقواعد,2022-02-02,شركة شابورجي بالونجي,الرياض,Medium
973,أعمال التكييف المركزي,2023-10-13,شركة الكفاح للمقاولات,الباحة,Medium
974,تأسيس السباكة والكهرباء,2022-04-12,شركة شابورجي بالونجي,الحدود الشمالية,Medium
975,تركيب النوافذ والأبواب,2024-12-07,شركة راشد الراشد,الرياض,Low
976,صب الخرسانة العادية للأساسات,2022-09-26,شركة الفوزان للتجارة والمقاولات,الباحة,High
977,تركيب المصاعد,2024-12-26,شركة الخضري للمقاولات,الجوف,Low
978,تركيب البلاط والرخام,2024-09-22,شركة دريك آند سكل,الرياض,Medium
979,تركيب الأدوات الصحية,2022-09-21,شركة الخضري للمقاولات,مكة المكرمة,High
980,تركيب النوافذ والأبواب,2023-07-23,شركة السيف للمقاولات الهندسية,مكة المكرمة,Medium
981,تركيب المصاعد,2022-04-03,شركة أرامكو السعودية (إشراف/تنفيذ),جازان,Medium
982,تأسيس السباكة والكهرباء,2022-11-07,شركة الفوزان للتجارة والمقاولات,جازان,High
983,تركيب النوافذ والأبواب,2024-01-21,شركة العيوني للاستثمار والمقاولات,الرياض,Low
984,أعمال الحفر والردم,2022-04-15,شركة المباني,المدينة المنورة,High
985,بناء جدران القبو,2023-07-27,مجموعة بن لادن السعودية,نجران,Low
986,أعمال العزل المائي للسطح,2023-02-26,شركة البحر الأحمر الدولية,القصيم,Low
987,تركيب الواجهات الزجاجية,2022-03-02,شركة الفنار,الحدود الشمالية,Medium
988,تركيب الأدوات الصحية,2023-12-09,شركة جرير للمقاولات,عسير,High
989,اللياسة الداخلية,2024-07-30,شركة جرير للمقاولات,جازان,Low
990,صب سقف الدور الأرضي,2024-04-27,شركة المقاولون العرب,نجران,High
991,أعمال التكييف المركزي,2024-03-18,شركة الفنار,عسير,High
992,صب أعمدة الدور الأرضي,2022-06-30,شركة نسما للمقاولات,الجوف,High
993,صب سقف الدور الأرضي,2024-12-22,شركة شابورجي بالونجي,المنطقة الشرقية,High
994,تركيب الواجهات الزجاجية,2022-05-26,شركة الخضري للمقاولات,عسير,Medium
995,أعمال الديكور والجبس,2024-10-01,شركة الفوزان للتجارة والمقاولات,القصيم,Medium
996,تركيب أنظمة الحريق,2024-08-14,شركة الفوزان للتجارة والمقاولات,القصيم,Medium
997,صب سقف الدور الأرضي,2022-01-19,شركة البحر الأحمر الدولية,جازان,High
998,تركيب البلاط والرخام,2023-12-12,شركة أرامكو السعودية (إشراف/تنفيذ),نجران,Low
999,صب الخرسانة العادية للأساسات,2022-03-22,شركة دريك آند سكل,الباحة,High
1000,اللياسة الداخلية,2024-05-29,شركة روشن العقارية,المدينة المنورة,Low
1001,تركيب المصاعد,2022-02-14,شركة البحر الأحمر الدولية,الرياض,Medium
1002,صب الخرسانة العادية للأساسات,2022-12-28,شركة الكفاح للمقاولات,تبوك,High
1003,بناء جدران القبو,2022-01-12,شركة الفنار,القصيم,Low
1004,صب الخرسانة المسلحة للقواعد,2024-10-28,شركة الكفاح للمقاولات,مكة المكرمة,High
1005,أعمال الحفر والردم,2022-04-08,شركة الفوزان للتجارة والمقاولات,الجوف,Medium
1006,أعمال المباني (الطوب),2022-04-07,شركة الكفاح للمقاولات,عسير,Medium
1007,بناء جدران القبو,2023-11-02,مؤسسة بن سمار للمقاولات,تبوك,High
1008,أعمال التكييف المركزي,2023-04-07,شركة دريك آند سكل,المنطقة الشرقية,Medium
1009,أعمال التكييف المركزي,2023-10-31,شركة روشن العقارية,نجران,Medium
1010,تركيب النوافذ والأبواب,2022-06-25,شركة شابورجي بالونجي,الجوف,Low
1011,صب الخرسانة المسلحة للقواعد,2023-12-09,شركة أرامكو السعودية (إشراف/تنفيذ),القصيم,Medium
1012,صب أعمدة الدور الأرضي,2022-08-14,شركة جرير للمقاولات,المنطقة الشرقية,Medium
1013,اللياسة الخارجية,2023-03-02,شركة أرامكو السعودية (إشراف/تنفيذ),جازان,Medium
1014,تركيب الواجهات الزجاجية,2024-05-17,شركة المقاولون العرب,تبوك,Medium
1015,تركيب أنظمة الحريق,2023-12-19,شركة راشد الراشد,عسير,Low
1016,أعمال الدهانات الأولية,2023-04-26,شركة الكفاح للمقاولات,القصيم,Low
1017,أعمال الحفر والردم,2023-08-17,شركة دريك آند سكل,مكة المكرمة,Medium
1018,عزل القواعد والرقاب,2022-11-16,شركة راشد الراشد,مكة المكرمة,High
1019,الدهانات النهائية,2023-04-01,شركة الفنار,جازان,Medium
1020,بناء جدران القبو,2023-12-25,شركة شابورجي بالونجي,جازان,High
1021,اللياسة الداخلية,2024-11-02,شركة راشد الراشد,الحدود الشمالية,Low
1022,صب سقف الدور الأرضي,2023-10-05,شركة المباني,الرياض,High
1023,تركيب أنظمة الحريق,2023-10-28,شركة راشد الراشد,الجوف,High
1024,بناء جدران القبو,2024-05-06,شركة راشد الراشد,الحدود الشمالية,High
1025,صب أعمدة الدور الأرضي,2024-10-24,شركة المقاولون العرب,الباحة,Medium
1026,عزل القواعد والرقاب,2023-09-10,شركة الخضري للمقاولات,حائل,High
1027,صب الخرسانة المسلحة للقواعد,2024-09-24,شركة الخضري للمقاولات,المدينة المنورة,High
1028,تركيب البلاط والرخام,2024-10-15,شركة الكفاح للمقاولات,الجوف,Low
1029,بناء جدران القبو,2023-12-10,شركة الفنار,الحدود الشمالية,Medium
1030,تركيب البلاط والرخام,2023-01-15,شركة الفوزان للتجارة والمقاولات,الجوف,Medium
1031,تبليط الحوش والأسوار,2023-09-09,شركة الخضري للمقاولات,نجران,Medium
1032,أعمال الديكور والجبس,2022-11-17,شركة دريك آند سكل,تبوك,Low
1033,أعمال التكييف المركزي,2023-11-12,شركة جرير للمقاولات,تبوك,Medium
1034,تركيب البلاط والرخام,2023-01-26,مؤسسة بن سمار للمقاولات,الحدود الشمالية,Low
1035,تركيب المصاعد,2023-01-11,شركة الفنار,الحدود الشمالية,Low
1036,صب أعمدة الدور الأرضي,2024-02-28,شركة العيوني للاستثمار والمقاولات,المدينة المنورة,Medium
1037,أعمال العزل المائي للسطح,2023-09-05,شركة شابورجي بالونجي,الرياض,Low
1038,الدهانات النهائية,2023-05-08,شركة المقاولون العرب,جازان,Low
1039,صب أعمدة الدور الأرضي,2024-01-28,شركة المقاولون العرب,حائل,High
1040,أعمال المباني (الطوب),2023-07-21,شركة الفوزان للتجارة والمقاولات,الحدود الشمالية,Low
1041,صب أعمدة الدور الأرضي,2022-07-26,شركة شابورجي بالونجي,الرياض,Medium
1042,أعمال العزل المائي للسطح,2023-12-15,شركة أرامكو السعودية (إشراف/تنفيذ),حائل,Low
1043,عزل القواعد والرقاب,2022-03-27,شركة الخضري للمقاولات,حائل,Low
1044,تأسيس السباكة والكهرباء,2024-12-08,شركة شابورجي بالونجي,تبوك,High
1045,صب سقف الدور الأرضي,2022-11-01,شركة دريك آند سكل,عسير,Medium
1046,تركيب أنظمة الحريق,2022-04-13,شركة دريك آند سكل,القصيم,High
1047,تركيب أنظمة الحريق,2023-03-02,مؤسسة بن سمار للمقاولات,مكة المكرمة,Low
1048,تركيب الأدوات الصحية,2023-06-06,شركة الكفاح للمقاولات,المنطقة الشرقية,Medium
1049,تركيب النوافذ والأبواب,2024-12-14,شركة دريك آند سكل,المدينة المنورة,High
1050,عزل القواعد والرقاب,2024-07-15,شركة نسما للمقاولات,الحدود الشمالية,Medium
1051,أعمال الدهانات الأولية,2023-02-16,شركة الخضري للمقاولات,جازان,Medium
1052,صب الخرسانة المسلحة للقواعد,2023-12-10,شركة روشن العقارية,تبوك,Medium
1053,صب سقف الدور الأرضي,2022-10-15,شركة راشد الراشد,حائل,Medium
1054,أعمال اللاندسكيب والتشجير,2022-06-29,شركة السيف للمقاولات الهندسية,نجران,Low
1055,الدهانات النهائية,2023-09-04,شركة جرير للمقاولات,الرياض,Low
1056,صب أعمدة الدور الأرضي,2023-11-01,شركة السيف للمقاولات الهندسية,نجران,High
1057,أعمال المباني (الطوب),2023-04-06,شركة نسما للمقاولات,الحدود الشمالية,Medium
1058,أعمال الدهانات الأولية,2023-01-12,شركة الفنار,نجران,Medium
1059,تأسيس السباكة والكهرباء,2024-08-26,شركة أرامكو السعودية (إشراف/تنفيذ),الباحة,High
1060,بناء جدران القبو,2022-06-20,شركة المباني,القصيم,Low
1061,الدهانات النهائية,2022-08-24,شركة نسما للمقاولات,المدينة المنورة,Low
1062,تركيب الأدوات الصحية,2023-04-30,مؤسسة بن سمار للمقاولات,تبوك,Low
1063,أعمال الدهانات الأولية,2022-08-11,شركة الكفاح للمقاولات,الرياض,Medium
1064,أعمال الديكور والجبس,2022-12-30,شركة الكفاح للمقاولات,الحدود الشمالية,Medium
1065,صب الخرسانة المسلحة للقواعد,2023-02-08,شركة جرير للمقاولات,مكة المكرمة,High
1066,أعمال العزل المائي للسطح,2022-04-08,مؤسسة بن سمار للمقاولات,القصيم,High
1067,الدهانات النهائية,2022-01-16,شركة أرامكو السعودية (إشراف/تنفيذ),المنطقة الشرقية,Low
1068,تركيب النوافذ والأبواب,2022-03-29,شركة روشن العقارية,المدينة المنورة,Low
1069,صب الخرسانة العادية للأساسات,2024-01-15,شركة الكفاح للمقاولات,المدينة المنورة,High
1070,تركيب المصاعد,2022-07-22,شركة راشد الراشد,المنطقة الشرقية,Medium
1071,صب أعمدة الدور الأرضي,2022-04-13,مؤسسة بن سمار للمقاولات,الباحة,Medium
1072,تأسيس السباكة والكهرباء,2022-01-06,مؤسسة بن سمار للمقاولات,القصيم,Medium
1073,الدهانات النهائية,2023-03-13,مؤسسة بن سمار للمقاولات,الرياض,Medium
1074,تركيب النوافذ والأبواب,2023-12-17,شركة الخضري للمقاولات,تبوك,Low
1075,أعمال الحفر والردم,2024-05-18,شركة أرامكو السعودية (إشراف/تنفيذ),المنطقة الشرقية,Low
1076,أعمال المباني (الطوب),2023-07-30,شركة الفنار,نجران,Medium
1077,أعمال العزل المائي للسطح,2024-04-27,مؤسسة بن سمار للمقاولات,نجران,Low
1078,صب أعمدة الدور الأرضي,2023-10-30,مجموعة بن لادن السعودية,عسير,Medium
1079,تركيب الواجهات الزجاجية,2024-05-28,مجموعة بن لادن السعودية,حائل,Medium
1080,صب الخرسانة العادية للأساسات,2024-04-21,مؤسسة بن سمار للمقاولات,نجران,Medium
1081,تبليط الحوش والأسوار,2023-01-06,شركة شابورجي بالونجي,الرياض,Low
1082,اللياسة الداخلية,2022-09-18,مؤسسة بن سمار للمقاولات,حائل,High
1083,تركيب النوافذ والأبواب,2023-09-23,شركة الفنار,المنطقة الشرقية,Low
1084,تركيب البلاط والرخام,2023-09-28,شركة روشن العقارية,القصيم,Medium
1085,عزل القواعد والرقاب,2024-11-10,شركة الكفاح للمقاولات,القصيم,Medium
1086,عزل القواعد والرقاب,2024-08-19,شركة المباني,المدينة المنورة,Medium
1087,تبليط الحوش والأسوار,2024-08-02,شركة المقاولون العرب,مكة المكرمة,Medium
1088,صب الخرسانة العادية للأساسات,2022-05-31,شركة السيف للمقاولات الهندسية,جازان,High
1089,اللياسة الخارجية,2023-08-06,شركة شابورجي بالونجي,الباحة,Low
1090,أعمال الحفر والردم,2024-09-26,شركة نسما للمقاولات,حائل,Medium
1091,تبليط الحوش والأسوار,2023-02-08,مجموعة بن لادن السعودية,جازان,High
1092,أعمال الدهانات الأولية,2023-11-21,شركة أرامكو السعودية (إشراف/تنفيذ),عسير,Low
1093,أعمال الديكور والجبس,2023-08-02,شركة روشن العقارية,حائل,High
1094,صب أعمدة الدور الأرضي,2022-11-26,شركة الخضري للمقاولات,القصيم,Medium
1095,أعمال التكييف المركزي,2024-03-01,شركة المباني,القصيم,High
1096,عزل القواعد والرقاب,2022-02-20,شركة السيف للمقاولات الهندسية,جازان,Medium
1097,تركيب النوافذ والأبواب,2023-06-30,شركة دريك آند سكل,حائل,Medium
1098,تأسيس السباكة والكهرباء,2022-01-18,شركة نسما للمقاولات,عسير,Medium
1099,تبليط الحوش والأسوار,2023-05-29,شركة العيوني للاستثمار والمقاولات,المدينة المنورة,Low
1100,صب أعمدة الدور الأرضي,2022-05-22,شركة المباني,المنطقة الشرقية,Medium
1101,صب الخرسانة العادية للأساسات,2024-06-10,مؤسسة بن سمار للمقاولات,الحدود الشمالية,Medium
1102,أعمال العزل المائي للسطح,2024-12-15,شركة الخضري للمقاولات,جازان,High
1103,أعمال العزل المائي للسطح,2024-04-26,شركة روشن العقارية,المنطقة الشرقية,Medium
1104,أعمال المباني (الطوب),2023-11-18,شركة الكفاح للمقاولات,المنطقة الشرقية,Low
1105,عزل القواعد والرقاب,2023-10-05,شركة الفنار,جازان,High
1106,صب أعمدة الدور الأرضي,2023-10-08,شركة الخضري للمقاولات,الرياض,Medium
1107,تركيب الواجهات الزجاجية,2022-11-02,شركة المباني,نجران,Medium
1108,صب الخرسانة المسلحة للقواعد,2023-11-09,شركة الفوزان للتجارة والمقاولات,حائل,High
1109,تأسيس السباكة والكهرباء,2022-12-05,شركة راشد الراشد,جازان,High
1110,تركيب البلاط والرخام,2022-06-12,شركة المقاولون العرب,تبوك,Medium
1111,تركيب النوافذ والأبواب,2022-10-11,شركة الخضري للمقاولات,المدينة المنورة,Medium
1112,تركيب المصاعد,2023-12-05,شركة الخضري للمقاولات,مكة المكرمة,High
1113,الدهانات النهائية,2023-09-17,شركة الفنار,الرياض,Low
1114,صب الخرسانة المسلحة للقواعد,2023-07-06,شركة شابورجي بالونجي,نجران,Medium
1115,أعمال الحفر والردم,2024-02-20,مؤسسة بن سمار للمقاولات,المنطقة الشرقية,Medium
1116,أعمال الديكور والجبس,2024-03-22,مؤسسة بن سمار للمقاولات,حائل,High
1117,صب أعمدة الدور الأرضي,2023-05-18,شركة المقاولون العرب,عسير,Medium
1118,اللياسة الخارجية,2024-12-20,شركة الخضري للمقاولات,المدينة المنورة,High
1119,تركيب المصاعد,2022-03-29,شركة الكفاح للمقاولات,جازان,High
1120,أعمال اللاندسكيب والتشجير,2024-05-02,شركة جرير للمقاولات,المدينة المنورة,High
1121,تركيب الأدوات الصحية,2024-04-06,شركة المقاولون العرب,عسير,Low
1122,بناء جدران القبو,2024-07-06,شركة السيف للمقاولات الهندسية,عسير,Low
1123,بناء جدران القبو,2022-04-02,شركة الخضري للمقاولات,نجران,Medium
1124,تركيب النوافذ والأبواب,2024-08-26,مجموعة بن لادن السعودية,جازان,Low
1125,صب الخرسانة العادية للأساسات,2024-12-18,شركة الفنار,الحدود الشمالية,Medium
1126,أعمال الدهانات الأولية,2023-05-25,مؤسسة بن سمار للمقاولات,حائل,Low
1127,صب الخرسانة العادية للأساسات,2024-03-02,شركة شابورجي بالونجي,الرياض,Medium
1128,تركيب النوافذ والأبواب,2022-11-20,شركة شابورجي بالونجي,نجران,High
1129,أعمال اللاندسكيب والتشجير,2023-04-18,شركة نسما للمقاولات,حائل,Medium
1130,صب سقف الدور الأرضي,2023-04-15,شركة شابورجي بالونجي,القصيم,Medium
1131,تركيب الواجهات الزجاجية,2022-03-15,شركة روشن العقارية,نجران,Medium
1132,أعمال العزل المائي للسطح,2022-01-06,شركة المقاولون العرب,المنطقة الشرقية,Low
1133,أعمال العزل المائي للسطح,2023-06-23,شركة دريك آند سكل,عسير,Medium
1134,اللياسة الخارجية,2024-10-23,مؤسسة بن سمار للمقاولات,حائل,High
1135,تركيب الواجهات الزجاجية,2023-10-07,شركة نسما للمقاولات,الجوف,High
1136,صب الخرسانة المسلحة للقواعد,2022-04-23,شركة دريك آند سكل,المنطقة الشرقية,Medium
1137,اللياسة الداخلية,2024-10-04,شركة الفنار,الجوف,High
1138,أعمال الدهانات الأولية,2022-07-26,شركة جرير للمقاولات,حائل,Low
1139,صب أعمدة الدور الأرضي,2022-12-22,شركة الفوزان للتجارة والمقاولات,نجران,Medium
1140,تركيب أنظمة الحريق,2024-07-28,شركة دريك آند سكل,المنطقة الشرقية,Low
1141,تركيب البلاط والرخام,2022-09-26,شركة أرامكو السعودية (إشراف/تنفيذ),الحدود الشمالية,Low
1142,تركيب أنظمة الحريق,2023-08-03,شركة العيوني للاستثمار والمقاولات,مكة المكرمة,Medium
1143,صب أعمدة الدور الأرضي,2024-06-01,شركة نسما للمقاولات,الجوف,High
1144,صب سقف الدور الأرضي,2022-01-17,شركة المباني,الرياض,Medium
1145,تأسيس السباكة والكهرباء,2023-03-22,شركة المقاولون العرب,المدينة المنورة,Medium
1146,أعمال اللاندسكيب والتشجير,2022-11-28,شركة الفنار,مكة المكرمة,High
1147,أعمال الدهانات الأولية,2023-07-02,شركة راشد الراشد,تبوك,Medium
1148,صب أعمدة الدور الأرضي,2024-09-19,شركة دريك آند سكل,جازان,High
1149,تركيب المصاعد,2024-10-01,مؤسسة بن سمار للمقاولات,مكة المكرمة,Medium
1150,تركيب البلاط والرخام,2022-02-20,شركة الخضري للمقاولات,حائل,Low
1151,أعمال الدهانات الأولية,2022-01-03,شركة نسما للمقاولات,الباحة,Medium
1152,تركيب الواجهات الزجاجية,2024-08-05,مؤسسة بن سمار للمقاولات,عسير,Medium
1153,تركيب الواجهات الزجاجية,2024-07-11,شركة العيوني للاستثمار والمقاولات,جازان,Medium
1154,أعمال المباني (الطوب),2022-10-24,شركة المباني,عسير,Low
1155,أعمال اللاندسكيب والتشجير,2023-02-05,شركة راشد الراشد,جازان,Medium
1156,تبليط الحوش والأسوار,2022-12-01,شركة شابورجي بالونجي,الرياض,High
1157,تأسيس السباكة والكهرباء,2024-12-11,شركة أرامكو السعودية (إشراف/تنفيذ),عسير,Medium
1158,أعمال الحفر والردم,2024-07-19,شركة الخضري للمقاولات,تبوك,Medium
1159,تركيب البلاط والرخام,2023-04-18,شركة الفوزان للتجارة والمقاولات,الباحة,Medium
1160,أعمال التكييف المركزي,2022-10-03,شركة الخضري للمقاولات,الجوف,High
1161,صب الخرسانة العادية للأساسات,2023-05-05,شركة شابورجي بالونجي,مكة المكرمة,Medium
1162,أعمال التكييف المركزي,2024-05-30,شركة دريك آند سكل,المنطقة الشرقية,High
1163,تأسيس السباكة والكهرباء,2023-02-03,شركة المقاولون العرب,مكة المكرمة,Medium
1164,أعمال المباني (الطوب),2024-02-16,شركة السيف للمقاولات الهندسية,عسير,Medium
1165,أعمال العزل المائي للسطح,2022-10-31,شركة الكفاح للمقاولات,المنطقة الشرقية,Low
1166,عزل القواعد والرقاب,2023-12-03,شركة السيف للمقاولات الهندسية,القصيم,High
1167,أعمال الدهانات الأولية,2023-12-23,شركة الخضري للمقاولات,تبوك,Low
1168,تبليط الحوش والأسوار,2024-05-17,شركة الفوزان للتجارة والمقاولات,المدينة المنورة,Low
1169,صب الخرسانة العادية للأساسات,2024-11-28,شركة العيوني للاستثمار والمقاولات,مكة المكرمة,High
1170,أعمال العزل المائي للسطح,2022-02-24,شركة جرير للمقاولات,المدينة المنورة,Low
1171,صب الخرسانة العادية للأساسات,2022-02-20,شركة البحر الأحمر الدولية,الباحة,Medium
1172,الدهانات النهائية,2024-11-09,شركة العيوني للاستثمار والمقاولات,تبوك,Low
1173,تبليط الحوش والأسوار,2022-08-16,شركة الفنار,حائل,Low
1174,أعمال العزل المائي للسطح,2023-05-20,شركة المباني,تبوك,Low
1175,تركيب النوافذ والأبواب,2024-04-28,شركة الفنار,جازان,Medium
1176,صب الخرسانة العادية للأساسات,2023-12-02,شركة نسما للمقاولات,الجوف,High
1177,تركيب البلاط والرخام,2022-06-11,شركة العيوني للاستثمار والمقاولات,عسير,Low
1178,أعمال المباني (الطوب),2023-08-17,شركة شابورجي بالونجي,الجوف,Low
1179,صب أعمدة الدور الأرضي,2022-08-13,شركة السيف للمقاولات الهندسية,المنطقة الشرقية,High
1180,صب أعمدة الدور الأرضي,2023-07-29,شركة المباني,مكة المكرمة,High
1181,الدهانات النهائية,2023-01-19,شركة المقاولون العرب,الرياض,Medium
1182,أعمال المباني (الطوب),2022-03-10,شركة جرير للمقاولات,المدينة المنورة,Low
1183,الدهانات النهائية,2022-06-10,شركة العيوني للاستثمار والمقاولات,حائل,Medium
1184,صب سقف الدور الأرضي,2022-01-26,مجموعة بن لادن السعودية,تبوك,Medium
1185,تأسيس السباكة والكهرباء,2024-02-01,شركة روشن العقارية,المنطقة الشرقية,Medium
1186,تركيب البلاط والرخام,2022-06-21,شركة البحر الأحمر الدولية,الجوف,Medium
1187,تأسيس السباكة والكهرباء,2024-03-14,شركة روشن العقارية,جازان,Medium
1188,أعمال الحفر والردم,2023-10-06,مجموعة بن لادن السعودية,المدينة المنورة,Medium
1189,أعمال الدهانات الأولية,2024-06-08,شركة المباني,مكة المكرمة,Medium
1190,أعمال اللاندسكيب والتشجير,2024-06-09,شركة الكفاح للمقاولات,نجران,High
1191,صب سقف الدور الأرضي,2023-03-24,شركة العيوني للاستثمار والمقاولات,الرياض,High
1192,أعمال الديكور والجبس,2023-06-19,شركة روشن العقارية,جازان,Low
1193,تركيب النوافذ والأبواب,2024-09-07,شركة المقاولون العرب,نجران,High
1194,تركيب المصاعد,2022-11-22,شركة العيوني للاستثمار والمقاولات,عسير,Medium
